number,name
1,CSR
2,F.Llamas_CSR
3,F.Llamas_Katipunan
4,CSR_C.Padilla
5,C.Padilla_SRP
6,Katipunan_R.Duterte
7,N.Bacalso_Katipunan
8,V.Rama
9,V.Rama_R.Duterte
10,V.Rama_B.Rodriguez
11,N.Bacalso_V.Rama
12,N.Bacalso_P.delRosario
13,C.Padilla_Osmena_Blvd.
14,M.J.Cuenco_SRP
15,M.J.Cuenco_Osmena_Blvd.
16,Fuente_Osmena_Blvd.
17,Fuente_B.Rodriguez
18,Fuente_Capitol
19,Fuente_Gen.Maxilom
20,Escario_R.Duterte
21,Escario_Gorordo
22,Gorordo_Arch.Reyes
23,Gen.Maxilom_Gorordo
24,Gen.Maxilom_M.J.Cuenco
25,Gen.Maxilom_A.Soriano
26,Gen.Maxilom_SRP
27,JuanLuna_SRP
28,JuanLuna_A.Soriano
29,M.J.Cuenco_JuanLuna
30,Salinas_M.Cuenco
31,Escario_Arch.Reyes
32,M.Cuenco
33,Rizal
34,Gorordo_Salinas
